CR,CM,time
http://sealytics.github.io/ontologies/release-model#Bug-648c2c2f-a85a-4e89-95e4-323ebf0c8d70,+1 for the patch.,1402514208623
http://sealytics.github.io/ontologies/release-model#Bug-648c2c2f-a85a-4e89-95e4-323ebf0c8d70,Committed to trunk.,1402514208623
http://sealytics.github.io/ontologies/release-model#Bug-856b73f3-a85d-48a5-b2c2-79cd623403ff,tested Add host wizard e2e with the patch.,1407547174493
http://sealytics.github.io/ontologies/release-model#Bug-856b73f3-a85d-48a5-b2c2-79cd623403ff,Patch committed to trunk,1407547174493
http://sealytics.github.io/ontologies/release-model#Bug-856b73f3-a85d-48a5-b2c2-79cd623403ff,+1 for the patch.,1407547174493
http://sealytics.github.io/ontologies/release-model#Bug-cccb6619-d84d-4e08-abdc-e8683ad6d506,"Committed to trunk

75a5655a93a40561448e5607ea568875a9b33032",1388441859388
http://sealytics.github.io/ontologies/release-model#Bug-37256fe0-556d-4664-a483-d9c39975c945,Patch committed to trunk.,1405036413039
http://sealytics.github.io/ontologies/release-model#Bug-37256fe0-556d-4664-a483-d9c39975c945,+1 for the patch,1405036413039
http://sealytics.github.io/ontologies/release-model#Bug-37256fe0-556d-4664-a483-d9c39975c945,"The same issue was reproduced after following steps:
# Select stack 2.1.
# Go to Customize Services page.
# Go back to step 2 and select stack 2.0.
# Go to Customize Services page again.

Reason of this bug is different than prior but ends up leaving installer wizard with no service configs.
",1405036413039
http://sealytics.github.io/ontologies/release-model#Bug-37256fe0-556d-4664-a483-d9c39975c945,Patch committed to trunk,1405036413039
http://sealytics.github.io/ontologies/release-model#Bug-37256fe0-556d-4664-a483-d9c39975c945,"On re-iteration of installer wizard, we did reset on App.StackService content.
This bug occurred because ember ArrayController for step4 (App.WizardStep4Controller) repopulated deleted/unset records of DS.Model App.StackService after exiting connectOutlets function in the router. 
It happens that even after deleting/unsetting a record from it&apos;s model, entry of the record is still persisted in recordCache Array which maintained by the DS.Store namespace. 
As a resolution to this issue,
Attached patch will also delete record&apos;s entry in the recordCache of the DS.Store after deleting a record from the App.StackService model.
",1405036413039
http://sealytics.github.io/ontologies/release-model#Bug-37256fe0-556d-4664-a483-d9c39975c945,+1 for patch.,1405036413039
http://sealytics.github.io/ontologies/release-model#Bug-fcf3f73f-19a3-4716-a6d1-f82f5b23ddec,committed to trunk,1395268360007
http://sealytics.github.io/ontologies/release-model#Bug-fcf3f73f-19a3-4716-a6d1-f82f5b23ddec,+1 LGTM,1395268360007
http://sealytics.github.io/ontologies/release-model#Bug-10d7ca17-5710-4bb3-9750-0be180b524dd,+1 for patch.,1383916527546
http://sealytics.github.io/ontologies/release-model#Bug-10d7ca17-5710-4bb3-9750-0be180b524dd,committed to trunk,1383916527546
http://sealytics.github.io/ontologies/release-model#Bug-b96335c1-2466-4bc5-a050-95deb877ea88,Committed to trunk.,1383062698138
http://sealytics.github.io/ontologies/release-model#Bug-b96335c1-2466-4bc5-a050-95deb877ea88,+1 for the patch,1383062698138
http://sealytics.github.io/ontologies/release-model#Bug-e2395741-bb79-4d1f-8605-aa4a185031e0,commit e10d9c60d749980d7ff4de29b431c2b8cac2e001,1389793540514
http://sealytics.github.io/ontologies/release-model#Bug-5784272d-4b2d-48c6-866d-919b9cf037b8,Committed to trunk and 1.6.1,1404211367156
http://sealytics.github.io/ontologies/release-model#Bug-5784272d-4b2d-48c6-866d-919b9cf037b8,patches added.,1404211367156
http://sealytics.github.io/ontologies/release-model#Bug-5784272d-4b2d-48c6-866d-919b9cf037b8,+1 for the patch.,1404211367156
http://sealytics.github.io/ontologies/release-model#Bug-aaac6066-71e3-416a-8fcb-4266ae74fb1e,Committed to trunk.,1406152296933
http://sealytics.github.io/ontologies/release-model#Bug-aaac6066-71e3-416a-8fcb-4266ae74fb1e,"LGTM, +1",1406152296933
http://sealytics.github.io/ontologies/release-model#Bug-a2cc01fc-f1c5-4c71-b16c-1ce188aa4427,committed to trunk.,1382442052585
http://sealytics.github.io/ontologies/release-model#Bug-a2cc01fc-f1c5-4c71-b16c-1ce188aa4427,+1 for the patch,1382442052585
http://sealytics.github.io/ontologies/release-model#Bug-e13de76f-7862-49c7-8d67-212e13e0cac7,+1,1382351824957
http://sealytics.github.io/ontologies/release-model#Bug-e13de76f-7862-49c7-8d67-212e13e0cac7,committed to trunk,1382351824957
http://sealytics.github.io/ontologies/release-model#Bug-9cd51a7b-7c3b-4b5c-b21c-6136f81eabab,Second patch committed to trunk and branch-1.4.1,1379934529546
http://sealytics.github.io/ontologies/release-model#Bug-9cd51a7b-7c3b-4b5c-b21c-6136f81eabab,Reopening since the issue still exists after the patch was applied.,1379934529546
http://sealytics.github.io/ontologies/release-model#Bug-9cd51a7b-7c3b-4b5c-b21c-6136f81eabab,committed to trunk and branch-1.4.1,1379934529546
http://sealytics.github.io/ontologies/release-model#Bug-9cd51a7b-7c3b-4b5c-b21c-6136f81eabab,"+1 for the AMBARI-3303_2.patch
        ",1379934529546
http://sealytics.github.io/ontologies/release-model#Bug-9cd51a7b-7c3b-4b5c-b21c-6136f81eabab,+1 for the patch,1379934529546
http://sealytics.github.io/ontologies/release-model#Bug-c2407177-1bc4-483c-b951-82a5bd81d7c1,+1 for the patch.,1382565268711
http://sealytics.github.io/ontologies/release-model#Bug-c2407177-1bc4-483c-b951-82a5bd81d7c1,This was committed back on Oct 23.,1382565268711
http://sealytics.github.io/ontologies/release-model#Bug-387cb7cd-e831-4817-9512-aff20b16479c,+1 LGTM,1396476664183
http://sealytics.github.io/ontologies/release-model#Bug-45311c4e-1b04-4784-90bb-048f0b67923b,committed to trunk,1383827271438
http://sealytics.github.io/ontologies/release-model#Bug-45311c4e-1b04-4784-90bb-048f0b67923b,+1 for the patch.,1383827271438
http://sealytics.github.io/ontologies/release-model#Bug-39c2ec7e-8e3e-419b-9f0a-4926975d3d15,Dupe of AMBARI-5611,1398781099497
http://sealytics.github.io/ontologies/release-model#Bug-f3cc3077-dcf2-4fc9-b4eb-db16bb526def,Committed to trunk and the patch is already available in branch 1.4.3 and 1.4.4.,1389385014525
http://sealytics.github.io/ontologies/release-model#Bug-f3cc3077-dcf2-4fc9-b4eb-db16bb526def,"Patch sets defaults for core-site, yarn-site and mapred-site to enable multiuser configuration in GlusterFS",1389385014525
