2014-9249,T3
2011-2197,T25
2008-6492,T16
2002-0691,T25
2007-0884,T11
2007-1935,T18
2010-3144,T34
2010-0285,T10
2006-3792,T11
2006-2981,T5
2010-5042,T1
2007-1257,T19
2009-1622,T5
2014-9569,T7
2009-2636,T22
2013-1258,T34
2008-3170,T25
2014-5756,T0
2010-1418,T25
2006-6877,T18
2010-3443,T37
2013-7184,T23
2013-5761,T27
2006-5458,T2
2009-0700,T6
2007-0906,T11
2008-6981,T4
2007-6402,T14
2015-2769,T38
2003-0461,T10
2001-0273,T35
2009-3737,T17
2014-3593,T12
2015-3789,T28
2007-3761,T25
2008-0502,T2
2015-1402,T22
2012-0168,T8
2013-7369,T33
2007-4421,T5
2004-0983,T31
2011-1180,T14
2014-5177,T13
2008-6491,T2
2009-4800,T36
1999-1094,T14
2005-1680,T33
2008-1971,T6
2013-6325,T31
2015-5540,T28
2015-5257,T4
2005-2499,T15
2015-4815,T27
2005-2236,T26
2006-1042,T5
2006-2787,T12
2015-2471,T35
2015-4315,T19
2009-0996,T27
2016-0409,T27
2014-2597,T11
2007-3880,T26
2006-4457,T2
2002-1436,T11
2006-5243,T2
2012-4363,T8
2013-1343,T34
2005-1971,T18
2005-4756,T6
2007-0046,T8
2008-1103,T8
2010-1303,T22
2001-0965,T37
1999-1020,T3
2010-4465,T32
2006-2222,T37
2015-1494,T14
2015-3974,T10
2007-0021,T11
2015-3129,T28
2015-1219,T8
2011-2530,T11
2005-2094,T31
2007-4020,T1
2005-1855,T3
2014-4388,T12
2006-4458,T18
2004-0208,T34
2000-0013,T26
2007-3734,T8
2010-1864,T15
2015-8447,T28
2012-1657,T22
2011-4853,T25
2014-0850,T7
2013-4719,T21
2004-0430,T14
2014-7191,T37
2015-2370,T34
2012-1852,T14
2012-2356,T6
2013-2379,T27
2007-4838,T14
2009-5010,T37
2008-1840,T33
2006-0206,T5
2007-6198,T30
2013-3082,T1
2011-0436,T3
2007-6562,T11
2013-7401,T31
2009-0557,T17
2014-7722,T0
2015-4258,T38
2011-4818,T7
2013-0598,T38
2006-6093,T2
2011-1319,T31
1999-0244,T26
2012-6434,T38
2015-4197,T29
2014-3274,T35
2006-5152,T22
2013-4795,T1
2000-0589,T3
2004-1020,T4
2006-3790,T37
2007-2639,T36
2011-1778,T23
2005-2782,T14
2005-4887,T20
2010-4572,T7
2011-4161,T19
2003-0525,T31
2009-4659,T23
2012-1716,T27
2009-3533,T16
