CR,CM,time
http://sealytics.github.io/ontologies/release-model#Bug-ecf59660-68bd-4834-a435-467ed6e4b133,"I&apos;ve been able to reproduce the same error with a much smaller example (attached). 

As far as I understand it&apos;s a bug in the standard &quot;jndi&quot; feature of Karaf. When it&apos;s installed - the OSGI environment contains a Service with the javax.naming.spi.ObjectFactory interface and the com.sun.jndi.url.rmi.rmiURLContextFactory implementation class.

When I want to lookup an RMI object via JNDI, the control gets through a number of methods into the Aries&apos; ObjectFactoryHelper.getObjectInstanceUsingObjectFactories. The ObjectFactoryHelper gets a list of javax.naming.spi.ObjectFactory services from the OSGI environment and tries to pass the object to all of them. The problem is that by the time the control gets to that method, the object is not a string, but a RMIServerImpl_Stub. When it&apos;s passed to the rmiURLContextFactory - the error occurs, because the rmiURLContextFactory expects a String or an array of strings.

Karaf 2.3 (and 3.0) contain a solution for ARIES-823 - about coping with ObjectFactories that expect only a Reference. This particular object factory expects a String, so it seems to be an even worse case of a &quot;badly written ObjectFactory&quot;.

I don&apos;t know much about Karaf or JNDI but AFAICS either the rmiURLContextFactory should NOT be registered as an OSGI service or some specific hack, similar to ARIES-823 should be applied in Aries.

The attachment contains a simple maven module with two pax exam tests. Both contain a JNDI lookup. One is successfull, one fails. The only difference between them is that one installs the &quot;jndi&quot; feature, one doesn&apos;t.",1357141060189
http://sealytics.github.io/ontologies/release-model#Bug-ecf59660-68bd-4834-a435-467ed6e4b133,"I think this issue is now fixed. To give me some time to test it, I leave this Jira opened and postpone to next Karaf release.",1357141060189
http://sealytics.github.io/ontologies/release-model#Bug-ec88d33e-9bac-4f83-a820-56eebc073f97,"Actually, the tycho maven plugin just requires category.xml and dependencies: it generates the artifacts and content jar files on the fly and include it in the p2 repository.",1392903658607
http://sealytics.github.io/ontologies/release-model#Bug-ec88d33e-9bac-4f83-a820-56eebc073f97,Fixed on eik-2.x: https://git-wip-us.apache.org/repos/asf?p=karaf-eik.git;a=commitdiff;h=7d90e1589ff135d31f730c33d88b94b59bbed49b,1392903658607
http://sealytics.github.io/ontologies/release-model#Bug-ec88d33e-9bac-4f83-a820-56eebc073f97,Fixed on master: https://git-wip-us.apache.org/repos/asf?p=karaf-eik.git;a=commitdiff;h=995fceb7a902d91ad3d9d0b40d5388ff479bafe5,1392903658607
http://sealytics.github.io/ontologies/release-model#Bug-cc050033-b3bc-4588-8c4d-d9c5b186d959,Fixed on master: https://git-wip-us.apache.org/repos/asf?p=karaf.git;a=commitdiff;h=c00ceacee2f07a344a15c03f70d0023a9231aae2,1410771228291
http://sealytics.github.io/ontologies/release-model#Bug-cc050033-b3bc-4588-8c4d-d9c5b186d959,"The problem is caused by Aries JNDI URL 1.1.0-SNAPSHOT, which requires an update on JNDI Core.

For now, I&apos;m downgrading to Aries JNDI URL to 1.0.0, I will update both JNDI Core and JNDI URL in a row.",1410771228291
http://sealytics.github.io/ontologies/release-model#Bug-94167472-f6c2-44e1-82df-f899d26930eb,"Missed this jira, but I fixed that as part of KARAF-3096",1404274051002
http://sealytics.github.io/ontologies/release-model#Bug-b71346b5-06b4-4880-9159-b12c1cf188d8,Fixed on master: https://git-wip-us.apache.org/repos/asf?p=karaf-cellar.git;a=commitdiff;h=8b1f34099728ea2c88b45d420108d0d80c6a56e3,1402898689229
http://sealytics.github.io/ontologies/release-model#Bug-71b76e96-f41a-4a8e-8eb7-dbe9eda813e4,Fixed on master: https://git-wip-us.apache.org/repos/asf?p=karaf.git;a=commitdiff;h=0c69a7f4e6b24fb6c86f0decaa5498968c0a97ab,1393235980690
